Tipo Muert.,Zona,Subzona,Area del Hecho,Lugar,Fecha Infraccion,Tipo Arma,Presunta Motivacion Observacion,Sexo,Estado Civil,Nacionalidad,Instruccion
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2022-01-10,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2022-01-10,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,SECUNDARIA
ASESINATO,ZONA 5,GUAYAS,RURAL,VIA PUBLICA,2022-01-10,REVOLVER            ,SENTIMENTAL,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
ASESINATO,ZONA 5,LOS RIOS,RURAL,VIA PUBLICA,2022-01-11,REVOLVER            ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,RURAL,RIO,2022-01-09,,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 5,SANTA ELENA,URBANO,VIA PUBLICA,2022-01-11,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,CASA/VILLA,2022-01-11,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-11,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2022-01-11,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2022-01-11,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-11,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,VIA PUBLICA,2022-01-11,,SENTIMENTAL,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,RURAL,VIA PUBLICA,2022-01-11,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 3,TUNGURAHUA,RURAL,TERRENO BALDIO,2022-01-07,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 1,ESMERALDAS,URBANO,CENTROS DE REHABILITACION SOCIAL,2022-01-11,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,CENTROS DE REHABILITACION SOCIAL,2022-01-11,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,INICIAL
ASESINATO,ZONA 1,ESMERALDAS,URBANO,CENTROS DE REHABILITACION SOCIAL,2022-01-11,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 6,AZUAY,URBANO,VIA PUBLICA,2022-01-12,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 9,D.M. QUITO,URBANO,INTERIOR DE VEHICULO PARTICULAR,2022-01-12,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 9,D.M. QUITO,URBANO,INTERIOR DE VEHICULO PARTICULAR,2022-01-12,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,VIA PUBLICA,2022-01-12,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,INICIAL
SICARIATO,ZONA 5,GUAYAS,URBANO,CASA/VILLA,2022-01-12,REVOLVER            ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 6,AZUAY,URBANO,CENTROS DE REHABILITACION SOCIAL,2022-01-12,,AMENAZA,HOMBRE,NO DETERMINADO,COLOMBIA,
ASESINATO,ZONA 1,ESMERALDAS,RURAL,HACIENDAS,2022-01-13,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,VIA PUBLICA,2022-01-13,PISTOLA             ,TRAFICO DE ARMAS,HOMBRE,SOLTERO,ECUADOR,INICIAL
ASESINATO,ZONA 4,MANABI,RURAL,CASA/VILLA,2022-01-13,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 3,COTOPAXI,URBANO,VIA PUBLICA,2022-01-13,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,PRIMARIA
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2022-01-09,,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-13,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-13,,AMENAZA,MUJER,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,CASA/VILLA,2022-01-13,PISTOLA             ,SENTIMENTAL,HOMBRE,DIVORCIADO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2022-01-14,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2022-01-14,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2022-01-14,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2022-01-14,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,VENEZUELA,
ASESINATO,ZONA 5,GUAYAS,URBANO,VIA PUBLICA,2022-01-14,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,VIA PUBLICA,2022-01-14,REVOLVER            ,ROBO A UNIDADES ECONÓMICAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,URBANO,CASA/VILLA,2022-01-15,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,URBANO,VIA PUBLICA,2022-01-14,REVOLVER            ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 7,EL ORO,URBANO,VIA PUBLICA,2022-01-15,PISTOLA             ,EMOCIONAL,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-14,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,NO DETERMINADO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,CASA/VILLA,2022-01-15,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-15,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2022-01-15,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-16,,ROBO DE CARROS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-16,,AMENAZA,HOMBRE,EN UNION DE HECHO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 5,GUAYAS,URBANO,VIA PUBLICA,2022-01-15,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,EN UNION DE HECHO,ECUADOR,BACHILLERATO
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,CASA/VILLA,2022-01-01,,RIÑAS,HOMBRE,NO DETERMINADO,VENEZUELA,
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2022-01-16,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2022-01-16,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-16,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,CASA/VILLA,2022-01-17,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,VIA PUBLICA,2022-01-16,,TRAFICO INTERNACIONAL DE DROGA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2022-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2022-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2022-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2022-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 1,SUCUMBIOS,RURAL,COVACHA/CHOZA,2022-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,RURAL,COVACHA/CHOZA,2022-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,RURAL,CASA/VILLA,2022-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,RURAL,CASA/VILLA,2022-01-16,,AMENAZA,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2022-01-17,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,VIA PUBLICA,2022-01-17,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,SECUNDARIA
ASESINATO,ZONA 5,GUAYAS,URBANO,CENTROS COMERCIALES,2022-01-17,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-17,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-17,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,TRANSPORTE PUBLICO,2022-01-17,,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-18,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),MUJER,NO DETERMINADO,ECUADOR,
ASESINATO,ZONA 6,CAÑAR,URBANO,VIA PUBLICA,2022-01-18,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,NINGUNA
ASESINATO,ZONA 6,CAÑAR,RURAL,VIA PUBLICA,2022-01-18,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,HOSPITALES,2022-01-18,,ROBO A PERSONAS,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,GASOLINERAS,2022-01-19,REVOLVER            ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,VIA PUBLICA,2022-01-19,,DEUDAS,HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,CASA/VILLA,2022-01-20,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,NO DETERMINADO,ECUADOR,
HOMICIDIO,ZONA 1,SUCUMBIOS,RURAL,CASA/VILLA,2022-01-19,CARTUCHERA          ,EMOCIONAL,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-19,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,BARES,2022-01-19,,ROBO A PERSONAS,HOMBRE,NO DETERMINADO,HOLANDA,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,VIA PUBLICA,2022-01-19,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-19,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-19,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 1,ESMERALDAS,URBANO,VIA PUBLICA,2022-01-19,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),MUJER,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 5,LOS RIOS,URBANO,CASA/VILLA,2022-01-20,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,EN UNION DE HECHO,ECUADOR,NINGUNA
ASESINATO,ZONA 5,GUAYAS,URBANO,VIA PUBLICA,2022-01-20,REVOLVER            ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 9,D.M. QUITO,RURAL,BOSQUE Y RESERVAS ECOLOGICAS,2022-01-20,,VIOLACION SEXUAL (DESCONOCIDO),MUJER,CASADO,ECUADOR,
ASESINATO,ZONA 9,D.M. QUITO,URBANO,OTROS LOCALES COMERCIALES,2022-01-20,,AMENAZA,HOMBRE,CASADO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-20,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-20,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-20,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-20,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-20,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-20,,ROBO A PERSONAS,HOMBRE,NO DETERMINADO,VENEZUELA,
ASESINATO,ZONA 1,ESMERALDAS,URBANO,VIA PUBLICA,2022-01-20,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-20,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 4,MANABI,RURAL,CASA/VILLA,2022-01-20,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 4,MANABI,RURAL,FINCA,2022-01-20,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 6,AZUAY,URBANO,VIA PUBLICA,2022-01-20,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,RURAL,VIA PUBLICA,2022-01-21,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 1,SUCUMBIOS,RURAL,RIO,2022-01-20,PISTOLA             ,ROBO A PERSONAS,HOMBRE,EN UNION DE HECHO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-21,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,PARQUES Y PLAZAS,2022-01-19,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2022-01-21,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,NO DETERMINADO,NO DETERMINADO,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2022-01-21,,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
